Chemical Name,SMILES
zirconium borohydride,[BH4][Zr]([BH4])([BH4])([BH4])
zirconium dibromide,Br[Zr]Br
"benzene-1-2-epoxyethyl",C1C(O1)C2=CC=CC=C2
barium carbide,C[Ba]C
chlorodimethyl arsine,C[As](C)Cl
dimethyl arsine,C[AsH]C
dimethyl beryllium,[CH3][Be][CH3]
dimethyl cadmium,[CH3][Cd][CH3]
dimethyl manganese,[CH3][Mn][CH3]
dimethyl phosphine,CPC
potassium carbide,C#[C][K]
sodium carbide,C#[C][Na]
unsymmetrical dimethyl hydrazine,CN(C)N
cacodyl iodide,C[As](C)I
benzyl silane,C1=CC=C(C=C1)C[SiH3]
benzyl sodium,[Na][CH2]C1=CC=CC=C1
diethyl beryllium,C[CH2][Be][CH2]C
diethyl phosphine,CCPCC
diisobutyl aluminum hydride,CC(C)C[AlH]CC(C)C
di-n-propyl zinc,CC[CH2][Zn][CH2]CC
divinyl zinc,C=C[Zn]C=C
ethyl methyl arsine,CC[As]C
ethyl sodium,C[CH2][Na]
azido thallium,[N-]=[N+]=[N][Tl]
iron sulfide,S=[Fe]
lithium borohydride,[Li][BH4]
methylene magnesium,C=[Mg]
methyl phosphine,CP
methyl sodium,[CH3][Na]
p -nitrosophenol,C1=CC(=CC=C1N=O)O
n -propyl lithium,[Li]CCC
propyl silane,CCC[Si]
silyl phosphine,[Si]P
tetramethyl diarsine,C[As](C)[As](C)C
triethyl bismuth,CC[Bi](CC)CC
triethyl borine,B(CC)(CC)CC
triethyl indium,CC[In](CC)CC
triethyl stibine,CC[Sb](CC)CC
trifluoromethyl phosphine,C(F)(F)(F)P
trimethyl arsine,C[As](C)C
trimethyl boron,B(C)(C)C
trimethyl gallium,C[Ga](C)C
trimethyl indium,C[In](C)C
tripropyl antimony,CCC[Sb](CCC)CCC
tripropyl indium,CCC[In](CCC)CCC
trisilyl phosphine,[Si]P([Si])[Si]
tris-trifluoromethyl phosphine,C(F)(F)(F)P(C(F)(F)F)C(F)(F)F
trivinyl stibine,C=C[Sb](C=C)C=C
diethyl aluminum bromide,CC[Al](CC)Br
diethyl boron chloride,B(CC)(CC)Cl
ethyl aluminum sesquichloride,CC[Al](CC)Cl.CC[Al](Cl)Cl
ethyl boron dichloride,B(CC)(Cl)Cl
lithium tetramethyl borate,[Li][B](C)(C)(C)C
methyl aluminum sesquichloride,C[Al](C)Cl.C[Al](Cl)Cl
